index,name,artist,uri,mood(s)
255,Love Like That,"Mayer Hawthorne, ",spotify:track:4NQ7kqQP6q7PZ0LIvqSH8D,dinner
256,Focus - Bonus Track,"Emily King, ",spotify:track:5LDgjGacK4ZLXkSwwnv5Ix,dinner
257,Feel Good,"Satin Jackets, Scavenger Hunt, ",spotify:track:48MBgGMN8k8ctL9MoxiZL3,dinner
258,Shine - Kygo Remix / Single Edit,"Benjamin Francis Leftwich, Kygo, ",spotify:track:4NN9IyaBZRM08WLVi7P2bw,dinner
259,Night Air,"Jamie Woon, ",spotify:track:4XcggrvWzPGxlcpSMWqGFW,dinner
260,Am I Wrong,"Anderson .Paak, ScHoolboy Q, ",spotify:track:7gZzWI6yC0Wb8xLcNYoYIg,dinner
261,Standing on My Own,"Max Jury, ",spotify:track:2Y2z7CYY8h4zBqsSvBteAU,dinner
262,Taxis,"Amanda Bergman, ",spotify:track:5htgOWTitOzUNiVG5G0m5V,dinner
263,Kelly,"Amason, ",spotify:track:3Mj5wXVgnFs0HhBI4iYHCd,dinner
264,After All,"Charlotte Day Wilson, ",spotify:track:430AnSE09cNCZ42bG27QyU,dinner
265,Weight in Gold (feat. Seal),"Gallant, Seal, ",spotify:track:2MR7uOIOsLEgRL6xi9p5pS,dinner
266,Make It Up,"Shura, ",spotify:track:4BpERr0wWn65JvErQTfsYK,dinner
267,Inspiration Information,"Shuggie Otis, ",spotify:track:6qH6xP8tzxvZlCcmHit4AL,dinner
268,E.V.P.,"Blood Orange, ",spotify:track:0e43YnIeghIkDOW146x3G5,dinner
269,Zuky,"Villa, ",spotify:track:6rZ3FJNSp37OMiOxxjNmh5,dinner
270,Out Of Time,"Skogsrå, ",spotify:track:0ki98XHCkOyTNd3RkTsVP0,dinner
271,Little Bit,"Lykke Li, ",spotify:track:6PZDPg3dZgJkNL6nVMUB4b,dinner
272,Young,"Frankie Cosmos, ",spotify:track:4LMlviHZfDUXWIZhvGEAKi,dinner
273,All Day Long,"KAPPEKOFF, ",spotify:track:7BSROePF8jz3tVHbafS2P9,dinner
274,Til I Met Thee,"Cody Chesnutt, ",spotify:track:0TNXILAGuF49nsIyylBACS,dinner
275,Tip Pit,"World Champion, ",spotify:track:1bYqCjyoX456YOsC5MhiNC,dinner
276,Back Where I Belong - Radio Edit,"Jack Savoretti, ",spotify:track:6O9h1t3AJK6ybVvhZG5aCl,dinner
277,Chess - Opium Factory Remix,"Joon Moon, ",spotify:track:3NZEdsk7NgbwTpIVmwNdvb,dinner
278,Dare Tonight,"Gateway Drugs, ",spotify:track:2eJDreSFwZDkmDGdOtEJbR,dinner
279,It Takes a Lot,"Hush Moss, ",spotify:track:13AYQK0HEtYCMGo0yKebeD,dinner
280,Big Brown Eyes,"Benny Sings, ",spotify:track:42N1d6aqK7MfvsdHll5R83,dinner
281,Waters Of March - Tim Biro Edit,"Penderstreet Steppers, Harry ""The It"" Dennis, ",spotify:track:7h9ktTq5GmXrk8oj8YshSP,dinner
282,Get You Back,"Mayer Hawthorne, ",spotify:track:6Ecfs0LIfbnRFjBx8dnguQ,dinner
283,Paradise - Boehm Remix,"Josef Salvat, Boehm, ",spotify:track:5VUl17rW74R67xbxOppPl8,dinner
284,Miss Right,"Anderson .Paak, ",spotify:track:4it9okpXUNL0haiYRxfU0q,dinner
285,Lost (As I Am),"Superwalkers, ",spotify:track:0bwhh6ODCZgJFY2n4CMkoF,dinner
286,Hurt Me,"Låpsley, ",spotify:track:3zRopmiStbxwO6GAPbzVuk,dinner
287,1517,"The Whitest Boy Alive, ",spotify:track:1sq5otKE9EWT2fkJrrJx6Q,dinner
288,Luxembourg Park,"Omoh, ",spotify:track:5BTo0g51UzNtfpzrxrY6RQ,dinner
289,What You Don't Do - Tom Misch Remix,"Lianne La Havas, Tom Misch, ",spotify:track:2pygzLN7fwCgeW5FNaugEm,dinner
290,Outside,"SoulChef, ",spotify:track:00NLANlysX9yJpOD3mfshw,dinner
291,Walk Walk (20syl Remix),"Yael Naim, ",spotify:track:0afm4aa732OUJGXr0JGJ56,dinner
292,Turnin' Me Up,"BJ The Chicago Kid, ",spotify:track:5MjAFPcmrR1DYCgZrXCN4d,dinner
293,Grizzly Bear,"Angus & Julia Stone, ",spotify:track:0IJ1ijo3uoJzy6ZE5wxJio,dinner
294,Give - Radio Version,"Emil Germ, ",spotify:track:5JGupSc7p3y6FWoWuuOewZ,dinner
295,"Odissi, Pt. II (Emotif) [Yuksek Remix]","Chassol, ",spotify:track:6liqFYyuPXOxhDorB94vbW,dinner
296,A Simple Game,"Billy Ocean, ",spotify:track:1UXYaXFyEogAXs4ddBnpZg,dinner
297,Baby,"Devendra Banhart, ",spotify:track:17XvbAd3K1GOjWy5uQvK2U,dinner
298,Ar Tu Jauti?,"Saulės Kliošas, ",spotify:track:0fFBRlw706hANaqydx0ujA,dinner
299,Why,"Les Sins, Nate Salman, ",spotify:track:617uvFPi0cd6YGUApc6lLq,dinner
300,Second Nature,"Stalking Gia, ",spotify:track:3RaH9fxrZ541JcayzhcuzX,dinner
301,Wait For the Moment,"Vulfpeck, ",spotify:track:7qFexQbJ2Kjv9V5hMtK5Lh,dinner
302,How Long,"Ace, ",spotify:track:7Dq1sWM1JfMrphbuwfeGVl,dinner
303,Brother Brother,"Surfalot, ",spotify:track:5jI0YSy3aW387FQaXQeiaO,dinner
304,Emotional,"Snoh Aalegra, ",spotify:track:2pNQc7ivtCoOwEGJ04AwzW,dinner
305,Never Said I Was An Angel,"Pauline, ",spotify:track:3jPbQzzYMp2Fc2Qj6hsqkg,dinner
306,If I ever feel better,"Phoenix, ",spotify:track:3AA8xNhDC0MpqwkGX3EP5V,dinner
307,Effortless,"Sabina Ddumba, ",spotify:track:6hoRr1KXrixuhILElTIGUM,dinner
308,Keeping Me Under,"Two Another, ",spotify:track:1N5zNjjaie1MpYW4oTPqVZ,dinner
309,All For You,"Lion & The Lamb, ",spotify:track:4remf8hQHkZ4nXhOpNTMw4,dinner
310,The Keys,"Matt Duncan, ",spotify:track:6ikh8e4YxgOlb11LWUaBp4,dinner
311,Nothing Gold - Todd Terje Remix,"Joakim, ",spotify:track:5UBS7QGzK8TikZe4v6A91F,dinner
312,Samba de uma nota só,"Vanessa Da Mata, ",spotify:track:5W7fIifB8wRBPN6yOcHpi2,dinner
313,Double Rainbow,"Stan Getz, João Gilberto, ",spotify:track:38tH5TrrQ4ckthMLBGlbxV,dinner
314,La Rua Madureira,"Pauline Croze, ",spotify:track:0eIW0BGY63JpCydq9j0oVL,dinner
315,The Night Has a Thousand Eyes,"Sonny Rollins, ",spotify:track:22DUYHHTOtAwYFnkX7i0Kn,dinner
316,Bossa Antigua,"Paul Desmond, ",spotify:track:5kapVb34raTBsynt0Zj6qw,dinner
317,Foi um Rio Que Passou em Minha Vida - Ao Vivo,"Paulinho Da Viola, ",spotify:track:1jpzA2afTrTVH2nGJNAiN8,dinner
318,The Girl From Ipanema,"Amy Winehouse, ",spotify:track:70BS5YOpvhWkkol3Alvsi1,dinner
319,Paquetá,"Dalva De Oliveira, ",spotify:track:6RQ1VQNFbi0yn2ZHX12cLJ,dinner
320,Samba Saravah,"Pauline Croze, ",spotify:track:5013GzW3Mw2vibyztNJoOe,dinner
321,Não Me Deixe Só,"Vanessa Da Mata, ",spotify:track:2ukW9zOr51AYeLSmCtTVqW,dinner
322,Ondo Onda A Meu Amor,"Orlandivo, ",spotify:track:1UHqnM0GD6JptREQgmkN9z,dinner
323,Aqua De Coco,"Marcos Valle, ",spotify:track:1OzHkIzGMj4S3rWwF8TBjc,dinner
324,Carolina Carol Bela,"Jorge Ben Jor, Toquinho, ",spotify:track:4oStJO9ZuNRysGUHV2DV6j,dinner
325,Não Vem Que Não Tem (Nem Vem Que Não),"Wilson Simonal, ",spotify:track:17WLioC3CduxV3E7SxuEuU,dinner
326,O Telefone Tocou Novamente,"Jorge Ben Jor, ",spotify:track:1hrzv3L6VgkXub9T34ipcg,dinner
327,Samba da Bênção,"Maria Bethânia, ",spotify:track:2moGHNaU8a4j1iowyOiYnF,dinner
328,Saudade Dela,"Maria Bethânia, Gilberto Gil, Caetano Veloso, ",spotify:track:5AjFVQrx7ABMWaxQvnz3V5,dinner
329,Falador Passa Mal,"Os Originais Do Samba, ",spotify:track:5VKSs0ytf8QhIKqJ5creHP,dinner
330,Bebete Vãobora,"Jorge Ben Jor, ",spotify:track:4101xj55k6mKizH6DAsDOZ,dinner
331,C'Est Une Bossa Nova,"Brigitte Bardot, ",spotify:track:46I8nmGoUkxHC6hCxFPOnv,dinner
332,Zero,"Liniker e os Caramelows, ",spotify:track:7Jl757vT5eNqemc6PtY2dA,dinner
333,Irene,"Rodrigo Amarante, ",spotify:track:3HrNKLtlJsMnJUFnbqCBNT,dinner
334,Turbilaho,"Paula Sergio, ",spotify:track:016MhOWmy8BMUm7kUBEqwh,dinner
335,O Bêbado e a Equilibrista,"João Bosco, Angela Maria, ",spotify:track:3bgRCx8adxUZT7It3ryrWU,dinner
336,Bossa Nova Cha Cha,"Luiz Bonfa, Oscar Castro-Neves, Lalo Schifrin, ",spotify:track:1saMuGl5zk1CIVjeHgHH9B,dinner
337,Brazilian Tapestry,"Astrud Gilberto, Stanley Turrentine, ",spotify:track:4ll184FeYei96CQuA7MyiI,dinner
338,Olhos Feiticeiros,"Joyce, ",spotify:track:4mEVrfI9mRyUhVCN37hg3u,dinner
339,Boca De Sapo,"João Bosco, ",spotify:track:1rASuRGnqDs8aCtZgtFqu2,dinner
340,O Pato,"Gilberto Gil, ",spotify:track:0Eb3TL58Q9d0MUToLIcuAG,dinner
341,Atrás Da Porta / Canção Do Amanhecer,"Nana Caymmi, ",spotify:track:7oVqltDjGX62BtvbTLF8qY,dinner
342,Samba do Avião,"Miúcha, Antônio Carlos Jobim, ",spotify:track:79uEE6rjTMWzduoAvWFbZR,dinner
343,Ponteio,"Astrud Gilberto, Stanley Turrentine, ",spotify:track:6G1YS7GVFa9SebpwMED5jb,dinner
344,Talismã,"Monique Kessous, Raimundo Fagner, ",spotify:track:7yUFShkmQUMjljLGJVGvAH,dinner
345,Ela É Carioca,"Os Cariocas, ",spotify:track:6yiCnuR7xZDaxyuU0tEPok,dinner
346,Mais Que Nada,"Sergio Mendes & Brasil '66, ",spotify:track:4dCbGaRR4F1EnJFav4YmkS,dinner
347,Falsa Bahiana,"J. Pereira, ",spotify:track:5lq65xcRqsDnkl7O7OV4ht,dinner
348,Samba de Orfeu,"Luis Bonfa, Toots Thielemans, ",spotify:track:0yO7Rg00ZJiMMb8pHiBojc,dinner
349,Children's Games,"Antônio Carlos Jobim, ",spotify:track:0oiNDJWFLPQoAm35OwT66P,dinner
350,Falsa Baiana,"Gal Costa, ",spotify:track:3ogX9R1qbv0jG9GQAOb4n5,dinner
351,Pela Luz dos Olhos Teus - Bonus Track,"Miúcha, Antônio Carlos Jobim, ",spotify:track:4S3Du6ZPFEzOKK9p5vbRrx,dinner
352,Samba Cantina,"Paul Desmond, ",spotify:track:1Yimq2iZciRfLDDdeGnhiA,dinner
353,Falsa Baiana,"Stan Getz, ",spotify:track:2ExI2HJwAPqXs2eWfHb1uX,dinner
354,3 Horas da Manhã,"Tamba Trio, ",spotify:track:0VUjKEQA4M9Sqb362LjEDz,dinner
355,Viola Fora De Moda,"Edu Lobo, ",spotify:track:2pIHetu2pPo3xagaL4m3DF,dinner
356,Vera Cruz,"Milton Nascimento, ",spotify:track:6Vm5yxajBiFVA8iEH2uU3z,dinner
357,Onde Anda Você,"Toquinho, Vinícius de Moraes, ",spotify:track:5E1707ifBAiZp9yJobsebZ,dinner
358,Samba Da Volta,"Vinícius de Moraes, Toquinho, ",spotify:track:4J4NyN2RYIWpuXbZom7IU1,dinner
359,Desacato,"Claudia, ",spotify:track:7H1e5MyIEbut4dBPSzmtgh,dinner
360,Negue,"Maria Bethânia, ",spotify:track:31isd0Re7GM2OjMWRD9R70,dinner
361,Lamento No Morro,"Nara Leão, ",spotify:track:6QJJcMI7Iv7iHetshB2v0e,dinner
362,Jodel,"João Donato, Seu Trio, ",spotify:track:6M3Ks6GEsjZDITfrZrncRK,dinner
363,So Nice (Summer Samba),"Marcos Valle, ",spotify:track:5prGd6bC82Q2sRrOPn2KLS,dinner
364,De Conversa Em Conversa,"João Gilberto, ",spotify:track:58DrbNadexaVVmsMkRgoTL,dinner
365,Walk on By - Studio Rio Version,"Aretha Franklin, Studio Rio, ",spotify:track:26texh9kObRkrwNT1EREMs,dinner
366,Lovely Day - Studio Rio Version,"Bill Withers, Studio Rio, ",spotify:track:4mH5oNojEmOswUGgCizDeb,dinner
367,Bossa Nova U.S.A.,"Dave Brubeck, ",spotify:track:6cjjUuY51c5SwTABCVPSYH,dinner
368,The Girl from Ipanema,"Charlie Byrd, Kevin Boutote, ",spotify:track:67Hu8S8wMhAEKY6AfGSMoZ,dinner
369,Domingo em Copacabana,"Elis Regina, ",spotify:track:4fra09o7m40oh1e9AFlcmL,dinner
370,Coração Vagabundo,"Gal Costa, Caetano Veloso, ",spotify:track:1yhuvsoxqYNw7gDgs7c8bW,dinner
371,Samba do Carioca,"Flora Purim, ",spotify:track:3aXSKGqHUGXWPfBcpl1C8I,dinner
372,Berimbau,"Maria Creuza, ",spotify:track:2MrY7stBQmQu3qDTRAaF1f,dinner
373,Brazil (Aka Aquarela do Brasil),"Antônio Carlos Jobim, ",spotify:track:2IAmL20tcnaitCWZC3DU12,dinner
374,Canto de Ossanha,"Maysa, ",spotify:track:4fuLuM6u6s4hUO7zkVJCIv,dinner
375,O Amor Em Paz,"Chico Buarque, ",spotify:track:4QXtZtoM3LDfdi37lL7CcA,dinner
376,Mas Que Nada,"Tamba Trio, ",spotify:track:5Xru9DheDWuVfontF3xtN1,dinner
377,Chega de Saudade,"Zeca Pagodinho, ",spotify:track:5Hn8fkS53OA0gTZFgmUdkR,dinner
378,A Felicidade,"Joyce, Roberta Sá, ",spotify:track:2KI2QttuOK3cNG89XtMjDi,dinner
379,Manha de Carnaval,"João Donato, ",spotify:track:2LFcZ1nrrMPmGOvuEwAK23,dinner
380,Obsession,"Sarah Vaughan, ",spotify:track:6rZtjKNEHEOZZDjVK1KzjO,dinner
381,Corcovado (Quiet Nights Of Quiet Stars),"Miles Davis, Gil Evans & His Orchestra, ",spotify:track:2ndDU6TV6NwgaF4k5i9j4u,dinner
382,Nova Bossa Nova,"Marcos Valle, ",spotify:track:2RPHy1PlxehscIM1K1wQMy,dinner
383,Eu Sei Que Vou Te Amar / O Bem e o Mal,"Nana Caymmi, ",spotify:track:64KUUPwr6in5H463iqw1P8,dinner
384,Tarde em Itapuan,"Paula Sergio, ",spotify:track:4Vy32l3sPINRnnq7cxgAtz,dinner
385,Asa Branca,"Luiz Gonzaga, Raimundo Fagner, ",spotify:track:6770VpNwRiV1fKMFjnhvmQ,dinner
386,So Danco Samba,"Antônio Carlos Jobim, ",spotify:track:4Rwljh2dqc2mIimSzsPATg,dinner
387,Chega de Saudade,"João Gilberto, ",spotify:track:0dWOiVQwoUYTtXD0VVgmJQ,dinner
388,Samba da Bênç¦o,"Toquinho, ",spotify:track:5p4NAxNDdex3XYanOqwyGI,dinner
389,Você e Eu,"Gilberto Gil, ",spotify:track:5cDs6McSLoPsk82YZncf7o,dinner
390,Só tinha de ser com você,"Vanessa Da Mata, ",spotify:track:4OSitdvzLxZByVbG5iqoYh,dinner
391,Digging Shelters,"Neil Halstead, ",spotify:track:5z0rixDlXqm0iXZ1Zxz3YX,dinner
392,Fare Thee Well (Dink's Song),"Oscar Isaac, Marcus Mumford, ",spotify:track:0YOOXnCJihgyluizqhAcrz,dinner
393,Another Story,"The Head and the Heart, ",spotify:track:1JxNWpK9xTWKRPoYTIX4Qk,dinner
394,Mushaboom,"Feist, ",spotify:track:66olzBxCgKlpFRB1LKH5pO,dinner
395,Blue Spotted Tail,"Fleet Foxes, ",spotify:track:2dFEB7VbBPZzhb2LqIBZbH,dinner
396,Sea Of Love,"Langhorne Slim, Jill Andrews, ",spotify:track:3ASn2iE7F4HvA8XyRbJ4tS,dinner
397,We Will Become Silhouettes,"The Postal Service, ",spotify:track:53hXLQsByJC4B3UCNcmh0E,dinner
398,Carried Away,"Carl Broemel, ",spotify:track:5dIGWhOYRiCAIMoDjimCAn,dinner
399,Line Of Fire,"Junip, ",spotify:track:1t6zwEOPQUz9QIjlwZ5UGF,dinner
400,Try,"Escondido, ",spotify:track:4H8RGVaLYBL7uM0KTS50WK,dinner
401,Our Love,"Sharon Van Etten, ",spotify:track:4ouHnqx22lzTZHr2hEt5aH,dinner
402,Don't Tell Our Friends About Me,"Blake Mills, ",spotify:track:5aO3PDi7cfVyqSbXSrSxfx,dinner
403,Had To Hear,"Real Estate, ",spotify:track:6hBmL5yVbXDHSWX6GbuogP,dinner
404,Towers,"Bon Iver, ",spotify:track:5rP9Weh1uFtlyRGqnzyQnd,dinner
405,I Don't Know What I Can Save You From,"Kings of Convenience, ",spotify:track:05qTeP4xG8KXoRhN2HdKjS,dinner
406,Woman Like Me,"Paleo, ",spotify:track:3YLjiKf34DECifehm1yauN,dinner
407,Museum of Flight,"Damien Jurado, ",spotify:track:3jPiv3uw7BUSkhdOuxUxkq,dinner
408,The Greatest,"Cat Power, ",spotify:track:6CAG3rBGPTAinoqgVD7fBJ,dinner
409,Stay Alive,"José González, ",spotify:track:0ZNYGrmcehorhh9JOeg5Iv,dinner
410,No Woman,"Whitney, ",spotify:track:0URtGENIORu1ruWHbh27F7,dinner
411,Changes,"Langhorne Slim, The Law, ",spotify:track:6bmytjj9ePNgm9ALqs1Xa7,dinner
412,Wolves,"Phosphorescent, ",spotify:track:5IPIpXq8znsSOybCsbd88v,dinner
413,You're Out Wasting,"Andy Shauf, ",spotify:track:3mnZ0JehmgDBzG0vHScCRH,dinner
414,Holocene,"Bon Iver, ",spotify:track:4fbvXwMTXPWaFyaMWUm9CR,dinner
415,Tears of Joy,"Slow Club, ",spotify:track:0hcWKHCgdvsBAHkbLCrwQN,dinner
416,Brandy Alexander,"Feist, ",spotify:track:7M8jtZQTPhPK6EgwcOgujM,dinner
417,Heartbeats,"José González, ",spotify:track:7BzhqmRj3iOZXqMHqiifHr,dinner
418,Lost In The Light,"Bahamas, ",spotify:track:25J4d78ESH2MgAJoIakB8O,dinner
419,Wood,"Rostam, ",spotify:track:7EN9HHkjySM5Eratx2zaMo,dinner
420,Detectorists (Original Soundtrack from the TV Series),"Johnny Flynn, ",spotify:track:0jp1YFgWn67BtAVDZRaSqM,dinner
421,Morning,"Beck, ",spotify:track:65tH2GPMFCt8JtM2PM3MiX,dinner
422,My Baby Don't Understand Me,"Natalie Prass, ",spotify:track:1mwwueuXt5NPPtnJyswwA9,dinner
423,In the Stream,"S. Carey, ",spotify:track:02iZJRlOZ7VRbzO8uVdOva,dinner
424,Naked As We Came,"Iron & Wine, ",spotify:track:2gUSIsapdX6jEJ0DvjqTt2,dinner
425,Take The Night Off,"Laura Marling, ",spotify:track:4VcCAbIwuMaIFzokHrrebn,dinner
426,1904,"The Tallest Man On Earth, ",spotify:track:2s3cLlYJ45K02djaHIwxUu,dinner
427,Orange Sky,"Alexi Murdoch, ",spotify:track:5Szn0p3DlnawyuhX8ULCg4,dinner
428,I'd Be Waiting,"Nathaniel Rateliff & The Night Sweats, ",spotify:track:7cRpjY0KWGmfZjcePxyGSl,dinner
429,All Yours,"Widowspeak, ",spotify:track:1LAzF3sa7k3QrOKtpCVgLJ,dinner
430,Death with Dignity,"Sufjan Stevens, ",spotify:track:4fpEuKIzTLmMJnYwFU0oqr,dinner
431,High Hopes,"Kodaline, ",spotify:track:5rZXBHUU2qz7huEckTwpqo,dinner
432,Dinosaur Sex,"Emmy The Great, ",spotify:track:5R9BaUKPIPBBadJSbB5knl,dinner
433,Leaf Off / The Cave,"José González, ",spotify:track:4GrOV18KKdZnc3jcfvMDgk,dinner
434,17,"Youth Lagoon, ",spotify:track:7GDbkrFBGrCb8ntbQPY3hQ,dinner
435,The Stable Song,"Gregory Alan Isakov, ",spotify:track:3G9ETaH55bMQx8hwNhAgbU,dinner
436,Believe,"Mumford & Sons, ",spotify:track:4A57CXs3jAmyNTMAwWaV53,dinner
437,Southern Sun,"Boy & Bear, ",spotify:track:40ttk439NA9RvbLBJpJU1M,dinner
438,Higher Love,"James Vincent McMorrow, ",spotify:track:30fUMnf2FI00EVTMRhOHhb,dinner
439,Between the Bars,"Elliott Smith, ",spotify:track:7BhZDvzJV21Dd5bY9xvtII,dinner
440,Where Are You Now,"Mumford & Sons, ",spotify:track:4rzWrb9KT2v71cyuHhcbJY,dinner
441,Chicago (acoustic version),"Sufjan Stevens, ",spotify:track:3QVmVa40Q82OupvrhhVgPL,dinner
442,Work Song,"Hozier, ",spotify:track:5szmwG86IFASvYrca21MEz,dinner
443,Suffering,"The War On Drugs, ",spotify:track:0GBcfTDD4OjGTGeVVgFl8v,dinner
444,Can't You Tell,"Vetiver, ",spotify:track:1szpo9PP7E2744kTFNK3HU,dinner
445,Eyes,"Rogue Wave, ",spotify:track:7fArBkBSsaUF5mOcpTL56I,dinner
446,Montezuma,"Fleet Foxes, ",spotify:track:6kzi5LTg5uECin8pC34nxV,dinner
447,Dead Sea,"The Lumineers, ",spotify:track:6wDKGtbPpF9xPMRv7bswQN,dinner
448,I Was An Eagle,"Laura Marling, ",spotify:track:2Imlbw05FhPRzWNyS2tokZ,dinner
449,Cavalier,"James Vincent McMorrow, ",spotify:track:240ElV9j5kjT14OR8RPMoZ,dinner
450,Man On Fire,"Edward Sharpe & The Magnetic Zeros, ",spotify:track:7is9tMXN65NMBWAVI36ajW,dinner
451,Blue Moon,"Beck, ",spotify:track:4gNErDjikE9QUQvkkqoB1S,dinner
452,Airplanes,"Local Natives, ",spotify:track:6qsArsTq6WoqtUFUe1e15W,dinner
453,Terror In The Canyons (The Wounded Master),"Phosphorescent, ",spotify:track:7C9qM17pJCJi1hiFERWjm6,dinner
454,There Can Be Only One,"Cass McCombs, ",spotify:track:0wy9UHwhV8o78L3F17WuDF,dinner
455,"Jesus, etc.","Wilco, ",spotify:track:4wd09wCccmxUB7XVJp0RNn,dinner
456,Riptide,"Vance Joy, ",spotify:track:1KqlVt63Q4bl1VdSlymr5C,dinner
457,The Sweetest Thing,"Camera Obscura, ",spotify:track:5HIfxhZRZp6BPpsz4wCKq9,dinner
458,Ghosts,"Laura Marling, ",spotify:track:0up48KQvGzMCrgqrfT07i2,dinner
459,It's Only Life,"The Shins, ",spotify:track:4UXSYJDEgOlMX3MXVkaiyH,dinner
460,Supernova,"Ray LaMontagne, ",spotify:track:23A4WepE6mwaOXFyxWhQpk,dinner
461,Lady On the Water,"Blitzen Trapper, ",spotify:track:7A2eHwcnRqegUGWov2K3P5,dinner
462,Fighter Girl,"Mason Jennings, ",spotify:track:7vWSEWnBtWb48R7gJ6qngk,dinner
463,Tuck the Darkness In,"Bowerbirds, ",spotify:track:0FrCdLSwmmmu3iUxfj2VbZ,dinner
464,Swing Lo Magellan,"Dirty Projectors, ",spotify:track:37cKyb3sDEt5hRSpBdsrns,dinner
465,Live And Die,"The Avett Brothers, ",spotify:track:19n9s9SfnLtwPEODqk8KCT,dinner
466,Mightiest of Guns,"A.A. Bondy, ",spotify:track:15uTxjdvNnV6U5u5L4vpnM,dinner
467,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic, Ty Dolla $ign, X Ambassadors, ",spotify:track:4dASQiO1Eoo3RJvt74FtXB,party
468,You & Me,"Marc E. Bassy, G-Eazy, ",spotify:track:0qRZ9ydGdzeVk3S01pLGoJ,party
469,Heathens,"Twenty One Pilots, ",spotify:track:6i0V12jOa3mr6uu4WYhUBr,"dinner, party"
470,Slumber Party,"Britney Spears, ",spotify:track:3xeHFCZZvMGVK0LrJld3Yb,party
471,Millionaire (feat. Nelly) - Alan Walker Remix,"Cash Cash, Digital Farm Animals, Nelly, Alan Walker, ",spotify:track:4NFoWbS7vtaeB2h4DexoFk,party
472,Perfect Strangers,"Jonas Blue, JP Cooper, ",spotify:track:1CUVN2kn7mW5FjkqXTR2W1,party
473,Capsize,"FRENSHIP, Emily Warren, ",spotify:track:4qH3RkbFgzxYyXUD8YC8kr,party
474,CRZY,"Kehlani, ",spotify:track:7xsktt3inEVSrjzPg5S0ce,party
475,Still Falling For You - Jonas Blue Remix,"Ellie Goulding, ",spotify:track:1KqquoEp6nWY1s46lwFoTF,party
476,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez, ",spotify:track:37FXw5QGFN7uwwsLy8uAc0,party
477,Write On Me,"Fifth Harmony, ",spotify:track:3UHS5JIivOXh3pEFtxyIO2,party
478,Please Don't Go,"Joel Adams, ",spotify:track:3cNjgVBKTJ1SvKhunrCdVy,"dinner, party"
479,Never Be Like You (feat. Kai),"Flume, Kai, ",spotify:track:6y0igZArWVi6Iz0rj35c1Y,party
480,Mama Said,"Lukas Graham, ",spotify:track:5ArQzSBevAdXTxRY6Ulhbq,party
481,Hurts So Good,"Astrid S, ",spotify:track:3EVBx6WnnMj0qGpcPHjECA,party
482,Overnight,"Jake Miller, ",spotify:track:3mVQUlrhWN5Z1i1HUhU8ZH,party
483,All In My Head (Flex),"Fifth Harmony, Fetty Wap, ",spotify:track:62aXseVSNAFLRweK5nyb3F,party
484,Carry Me,"Kygo, Julia Michaels, ",spotify:track:3FZEv9JddkjHNFiMVxJYpS,party
485,Game Girl,"Young & Divine, ",spotify:track:7k1AW5eqgkQLnU31CLHUO7,party
486,Dollhouse,"Melanie Martinez, ",spotify:track:6wNeKPXF0RDKyvfKfri5hf,party
487,Broccoli,"D.R.A.M., Lil Yachty, ",spotify:track:1mz5rxbP10zYFRh1MpysJJ,party
488,Tired of Talking,"LÉON, ",spotify:track:63MRutmAXJwkxhMhPHoioS,"dinner, party"
489,Thinking About It (Let It Go) - KVR Remix,"Nathan Goshen, KVR, ",spotify:track:0yJv0G7r1PZIl1CY5XhvkR,party
490,Out Of My System,"Youngr, ",spotify:track:4MUNZkVe0VfomuSgY1EJun,party
491,Controlla,"Drake, ",spotify:track:4CpKEkdGbOJV51cSvx7SoG,party
492,One Dance,"Drake, Wizkid, Kyla, ",spotify:track:11hqMWwX7sF3sOGdtijofF,party
493,Sexual,"NEIKED, Dyo, ",spotify:track:49FEOyx3GsIxuZSoGdAHvN,party
494,Gold,"Kiiara, ",spotify:track:6ZSO7kPn8IMJFymyticbJO,party
495,Sex,"Cheat Codes, Kris Kross Amsterdam, ",spotify:track:4tRLfSHpbjlIjV97RPWr9Y,party
496,Light It Up (feat. Nyla & Fuse ODG) [Remix],"Major Lazer, Nyla, Fuse Odg, ",spotify:track:40MkEbKzuSW9ET6HBngqnK,party
497,Needed Me,"Rihanna, ",spotify:track:1Tt4sE4pXi57mTD1GCzsqm,party
498,Don't Need Nobody,"Ellie Goulding, ",spotify:track:22Re0OiJOEP7xk5XwshMEA,party
499,Tiimmy Turner,"Desiigner, ",spotify:track:3NJG6vMH1ZsectZkocMEm0,party
500,Show Me Love - EDX Remix / Radio Edit,"Sam Feldt, Kimberly Anne, ",spotify:track:4bAmAVdks2Y84VNVVLXFwN,party
501,Work - R3hab Remix,"Rihanna, Drake, ",spotify:track:63OshgWbxCtI1WHb5C0Txd,party
502,Takes My Body Higher (feat. Lincoln Jesser),"Shoffy, Lincoln Jesser, ",spotify:track:306DlsO3OgFYsFZCfZzlBW,party
503,Stay,"Kygo, Maty Noyes, ",spotify:track:7gBj0VgcuAgkXkiRRYvSmK,party
504,Cruel,"Snakehips, ZAYN, ",spotify:track:0B2RttXEiyXsMeQ7mMP3EI,party
